Nombre de la Tabla,Nombre del Campo,Tipo de Dato,Longitud Max,Permite Nulos,Posicion
Clinica_Examenes,id_examen,int,-,NO,1
Clinica_Examenes,id_cliente,int,-,YES,2
Clinica_Examenes,id_sucursal,int,-,YES,3
Clinica_Examenes,id_empleado,int,-,YES,4
Clinica_Examenes,fecha_examen,datetime2,-,YES,5
Clinica_Examenes,tipo_examen,nvarchar,100,YES,6
Clinica_Examenes,observaciones,nvarchar,MAX,YES,7
Clinica_Examenes,fecha_carga_etl,datetime2,-,YES,8
Dash_Clinico_Agregado,id_sucursal,int,-,YES,1
Dash_Clinico_Agregado,nombre_sucursal,varchar,100,YES,2
Dash_Clinico_Agregado,id_optometrista,int,-,YES,3
Dash_Clinico_Agregado,fecha_examen,date,-,YES,4
Dash_Clinico_Agregado,periodo,varchar,7,YES,5
Dash_Clinico_Agregado,estado_conversion,varchar,20,YES,6
Dash_Clinico_Agregado,total_examenes,int,-,YES,7
Dash_Clinico_Agregado,monto_convertido,decimal,-,YES,8
Dash_Eficiencia_Agregado,id_sucursal,int,-,YES,1
Dash_Eficiencia_Agregado,fecha_pedido,date,-,YES,2
Dash_Eficiencia_Agregado,periodo,varchar,7,YES,3
Dash_Eficiencia_Agregado,tipo_lente,varchar,50,YES,4
Dash_Eficiencia_Agregado,estado_pedido,varchar,50,YES,5
Dash_Eficiencia_Agregado,total_ordenes,int,-,YES,6
Dash_Eficiencia_Agregado,monto_total,decimal,-,YES,7
Dash_Inventario_Agregado,id_sucursal,int,-,YES,1
Dash_Inventario_Agregado,marca,varchar,100,YES,2
Dash_Inventario_Agregado,grupo,varchar,100,YES,3
Dash_Inventario_Agregado,stock_total,decimal,-,YES,4
Dash_Inventario_Agregado,valor_total,decimal,-,YES,5
Dash_Inventario_Agregado,fecha_foto,datetime,-,YES,6
Dash_Inventario_Resumen,id_producto,int,-,YES,1
Dash_Inventario_Resumen,id_sucursal,int,-,YES,2
Dash_Inventario_Resumen,cantidad_disponible,decimal,-,YES,3
Dash_Inventario_Resumen,fecha_movimiento_stock,date,-,YES,4
Dash_Inventario_Resumen,fecha_foto_sistema,datetime,-,YES,5
Dash_Inventario_Resumen,costo_unitario,decimal,-,YES,6
Dash_Inventario_Resumen,valor_total_inventario,decimal,-,YES,7
Dash_Inventario_Resumen,estado_stock,varchar,50,YES,8
