Nombre de la Vista,Nombre del Campo,Tipo de Dato,Longitud Max,Permite Nulos,Posicion
database_firewall_rules,id,int,-,NO,1
database_firewall_rules,name,nvarchar,128,NO,2
database_firewall_rules,start_ip_address,varchar,45,NO,3
database_firewall_rules,end_ip_address,varchar,45,NO,4
database_firewall_rules,create_date,datetime,-,NO,5
database_firewall_rules,modify_date,datetime,-,NO,6
Dim_Categorias,id_categoria,int,-,NO,1
Dim_Categorias,nombre_categoria,nvarchar,150,YES,2
Dim_Categorias,nivel_jerarquia,varchar,19,NO,3
Dim_Categorias,linea_negocio,varchar,11,NO,4
Dim_Clientes,id_cliente,int,-,NO,1
Dim_Clientes,nombre_completo,nvarchar,301,YES,2
Dim_Clientes,genero_label,varchar,23,NO,3
Dim_Clientes,edad,int,-,NO,4
Dim_Clientes,rango_edad_descripcion,varchar,12,NO,5
Dim_Clientes,distrito_residencia,nvarchar,100,YES,6
Dim_Clientes,email,nvarchar,100,YES,7
Dim_Clientes,fecha_registro_completa,date,-,YES,8
Dim_Clientes,anio_registro,int,-,YES,9
Dim_Clientes,mes_registro_nro,int,-,YES,10
Dim_Clientes,mes_registro_nombre,varchar,10,YES,11
Dim_Clientes,periodo_registro,varchar,15,NO,12
Dim_Empleados,id_empleado,int,-,NO,1
Dim_Empleados,nombre_completo,nvarchar,150,YES,2
Dim_Empleados,tipo_empleado,nvarchar,50,YES,3
Dim_Empleados,id_sucursal,int,-,YES,4
Dim_Estados_Venezuela,id_estado,int,-,NO,1
Dim_Estados_Venezuela,codigo_ine,varchar,5,YES,2
Dim_Estados_Venezuela,nombre_estado,nvarchar,100,NO,3
Dim_Estados_Venezuela,nombre_capital,nvarchar,100,YES,4
Dim_Estados_Venezuela,region_administrativa,nvarchar,100,YES,5
Dim_Estados_Venezuela,poblacion_2011,int,-,YES,6
Dim_Estados_Venezuela,area_km2,decimal,-,YES,7
Dim_Estados_Venezuela,latitud_capital,decimal,-,YES,8
Dim_Estados_Venezuela,longitud_capital,decimal,-,YES,9
Dim_Estados_Venezuela,cantidad_municipios,int,-,YES,10
Dim_Estados_Venezuela,pais,varchar,9,NO,11
Dim_MetodosPago,id_metodo_pago,int,-,NO,1
Dim_MetodosPago,metodo_pago,nvarchar,100,YES,2
Dim_MetodosPago,codigo_contable,nvarchar,50,YES,3
Dim_Municipios_Venezuela,id_municipio,int,-,NO,1
Dim_Municipios_Venezuela,id_estado,int,-,NO,2
Dim_Municipios_Venezuela,codigo_ine,varchar,5,YES,3
Dim_Municipios_Venezuela,nombre_estado,nvarchar,100,YES,4
Dim_Municipios_Venezuela,nombre_municipio,nvarchar,150,NO,5
Dim_Municipios_Venezuela,nombre_capital_municipal,nvarchar,150,YES,6
Dim_Municipios_Venezuela,region_administrativa,nvarchar,100,YES,7
Dim_Municipios_Venezuela,poblacion_2011,int,-,YES,8
Dim_Municipios_Venezuela,area_km2,decimal,-,YES,9
Dim_Municipios_Venezuela,latitud,decimal,-,YES,10
Dim_Municipios_Venezuela,longitud,decimal,-,YES,11
Dim_Municipios_Venezuela,pais,varchar,9,NO,12
Dim_Municipios_Venezuela,cantidad_parroquias,int,-,YES,13
Dim_Productos,SK_Producto,int,-,NO,1
Dim_Productos,nombre_producto,nvarchar,200,YES,2
Dim_Productos,codigo_barras,nvarchar,50,YES,3
Dim_Productos,referencia,nvarchar,100,YES,4
Dim_Productos,id_grupo,int,-,YES,5
